#index is day-of-year
,TMAX,TMIN
1,-50.0,-150.0
2,6.0,-94.0
3,33.0,-33.0
4,22.0,0.0
5,0.0,-156.0
6,-83.0,-150.0
10,-117.0,-167.0
11,-22.0,-161.0
12,11.0,-28.0
22,33.0,0.0
23,11.0,-6.0
24,22.0,-33.0
25,89.0,-22.0
26,33.0,-78.0
27,17.0,-61.0
28,6.0,-44.0
29,67.0,-39.0
30,28.0,-56.0
31,17.0,-61.0
33,11.0,-128.0
34,-72.0,-128.0
35,28.0,-78.0
36,-22.0,-200.0
43,22.0,-128.0
44,-72.0,-128.0
45,17.0,-100.0
46,-11.0,-156.0
47,-89.0,-156.0
48,-50.0,-106.0
49,-22.0,-144.0
53,0.0,-100.0
54,-61.0,-200.0
55,-111.0,-194.0
56,0.0,-156.0
57,6.0,-94.0
58,-72.0,-233.0
59,-106.0,-117.0
60,-39.0,-150.0
61,-22.0,-100.0
62,6.0,-111.0
63,28.0,-106.0
69,117.0,0.0
70,144.0,22.0
71,183.0,-6.0
72,167.0,22.0
76,250.0,72.0
77,111.0,-28.0
78,78.0,6.0
79,83.0,33.0
80,61.0,22.0
81,167.0,17.0
82,133.0,0.0
83,50.0,-17.0
84,72.0,-17.0
85,78.0,-17.0
86,89.0,-33.0
87,39.0,-67.0
88,56.0,-50.0
89,133.0,0.0
90,200.0,33.0
91,206.0,67.0
92,233.0,89.0
93,200.0,67.0
94,111.0,-28.0
95,156.0,-6.0
96,189.0,61.0
97,167.0,111.0
98,222.0,139.0
100,261.0,44.0
101,194.0,6.0
102,183.0,33.0
107,233.0,94.0
108,256.0,128.0
109,256.0,133.0
110,167.0,83.0
111,111.0,28.0
112,167.0,11.0
113,122.0,0.0
114,156.0,17.0
115,161.0,78.0
116,128.0,33.0
118,183.0,28.0
119,211.0,44.0
120,222.0,78.0
121,167.0,6.0
122,217.0,67.0
123,239.0,139.0
124,278.0,150.0
125,267.0,156.0
126,289.0,161.0
127,278.0,183.0
128,283.0,172.0
129,233.0,161.0
130,211.0,161.0
131,261.0,167.0
134,194.0,94.0
135,183.0,122.0
136,267.0,172.0
139,233.0,56.0
140,161.0,72.0
141,100.0,50.0
142,189.0,67.0
143,250.0,122.0
144,250.0,172.0
145,278.0,189.0
148,256.0,133.0
149,278.0,189.0
150,289.0,172.0
151,206.0,83.0
155,239.0,150.0
156,272.0,172.0
157,283.0,128.0
158,261.0,156.0
159,317.0,183.0
160,278.0,172.0
161,306.0,200.0
162,322.0,183.0
163,311.0,194.0
164,294.0,200.0
165,294.0,206.0
166,283.0,217.0
167,289.0,206.0
168,250.0,183.0
169,244.0,206.0
170,267.0,178.0
171,228.0,178.0
172,278.0,150.0
173,261.0,194.0
174,300.0,217.0
175,267.0,172.0
176,278.0,172.0
177,261.0,194.0
178,211.0,150.0
179,256.0,156.0
180,233.0,156.0
